column,names,values,type,type2,key_fields_fin-for-model,source,analysis,relevant_terms,note,,,,,,,
123,palmfronds,0,integer,0/1,,,yes,yes,,,,,,,,
124,sedge,0,integer,0/1,,,yes,yes,,,,,,,,
125,grass,1,integer,0/1,,,yes,yes,,,,,,,,
126,Polygonum,0,integer,0/1,,,yes,yes,,,,,,,,
127,none,0,integer,0/1,,,yes,yes,,,,,,,,
128,Otherveg,0,character,0/1,,,yes,yes,,,,,,,,
129,Notesveg,NA,character,,,,,,,,,,,,,
130,Dishes,0,integer,0/1,,,,,,,,,,,,
131,bathing,1,integer,0/1,,,,,,,,,,,,
132,Clothes,1,integer,0/1,,,,,,,,,,,,
133,Carbike,0,integer,0/1,,,,,,,,,,,,
134,Collectingwater,0,integer,0/1,,,,,,,,,,,,
135,fording,1,integer,0/1,,,,,,,,,,,,
136,swimmingplaying,0,integer,0/1,,,,,,,,,,,,
137,fishing,1,integer,0/1,,,,,,,,,,,,
138,Ricecult,0,integer,0/1,,,,,,,,,,,,
139,otherfarming,0,integer,0/1,,,,,,,,,,,,
140,sanitation,0,integer,0/1,,,,,,,,,,,,
141,ablution,0,integer,0/1,,,,,,,,,,,,
142,Otheract,NA,integer,0/1,,,,,,,,,,,,
143,Noteswact,NA,character,,,,,,relevant for bulinus count or presence/absense models? Would be relevant for infection- presence infected snails but limited data here,,,,,,,
144,niclo_order,NA,integer,,,I added 2020,,,,,,,,,,
145,niclo_visit,NA,integer,dd/mm/yyyy,,I added 2020,yes,yes,decline over time?,,,,,,,
146,Date_appl_ed,NA,character,,,I added 2020,,,,,,,,,,
147,Date_appl_new,NA,character,dd/mm/yyyy,,,yes,yes,cleaned date,,,,,,,
148,date_application,NA,character,dd/mm/yyyy,,,,,,,,,,,,
149,sprayed_but_no_bul,NA,character,,,I added 2020,,,,,,,,,,
150,sprayed_when_Bul_pres,NA,character,,,,yes,yes,,,,,,,,
151,Sprayed_Steffi_ed,n,character,,,I added 2020,yes,yes,,,,,,,,
152,Sprayed_Steffi,0,integer,0/1,,,,,1/0 for snail control,,,,,,,
153,HS8,0,integer,0/1,,,,,,,,,,,,
154,HS10,0,integer,0/1,,,,,,,,,,,,
155,PS,0,integer,0/1,,,,,,,,,,,,
156,Barreldrip,0,integer,0/1,,,,,,,,,,,,
157,NumberofHudsonsprayersused,NA,integer,,,,,,,,,,,,,
158,Volumeofwatersprayedwithmachine,NA,integer,,,,,,,,,,,,,
159,Nicl,NA,numeric,,,,yes,yes,volume niclosamide,,,,,,,
160,N_Duration_min,NA,numeric,,,I added 2020,yes,yes,cleaned up,,,,,,,
161,N_Duration_new,NA,character,,,,,,,,,,,,,
162,N_Duration,NA,character,,,,,,,,,,,,,
163,Timeofapplicationhhmm,NA,character,time,,,,,,,,,,,,
164,Numberofsprayers,NA,integer,count,,,,,,,,,,,,
165,Notesappl,NA,character,,,,,,,,,,,,,
166,M_Notesappl,NA,character,,,I added 2020,,,,,,,,,,
167,monthly_precip,17.7,numeric,,,I added 2020,yes,yes,,,,,,,,
168,tot.2011_1st.year,NA,integer,,,I added 2020,,,,,,,,,,
169,tot.2011_9.12.year,101,integer,,,I added 2020,,,,,,,,,,
170,tot.2011_Adult,NA,logical,,,I added 2020,,,,,,,,,,
171,inf.2011_1st.year,NA,integer,,,I added 2020,,,,,,,,,,
172,inf.2011_9.12.year,20,integer,,,I added 2020,,,,,,,,,,
173,inf.2011_Adult,NA,logical,,,I added 2020,,,,,,,,,,
174,prev.2011_1st.year,NA,numeric,,,I added 2020,,,,,,,,,,
175,prev.2011_9.12.year,19.8,numeric,,,I added 2020,,,,,,,,,,
176,prev.2011_Adult,NA,logical,,,I added 2020,,,,,,,,,,
177,tot.2012_1st.year,96,integer,,,I added 2020,,,,,,,,,,
178,tot.2012_9.12.year,105,integer,,,I added 2020,,,,,,,,,,
179,tot.2012_Adult,42,integer,,,I added 2020,,,,,,,,,,
180,inf.2012_1st.year,8,integer,,,I added 2020,,,,,,,,,,
181,inf.2012_9.12.year,19,integer,,,I added 2020,,,,,,,,,,
182,inf.2012_Adult,3,integer,,,I added 2020,,,,,,,,,,
183,prev.2012_1st.year,8.3,numeric,,,I added 2020,,,,,,,,,,
184,prev.2012_9.12.year,18.1,numeric,,,I added 2020,,,,,,,,,,
185,prev.2012_Adult,7.1,numeric,,,I added 2020,,,,,,,,,,
186,tot.2013_1st.year,NA,logical,,,,,,,,,,,,,
187,tot.2013_9.12.year,118,integer,,,,,,,,,,,,,
188,tot.2013_Adult,50,integer,,,,,,,,,,,,,
189,inf.2013_1st.year,NA,logical,,,,,,,,,,,,,
190,inf.2013_9.12.year,16,integer,,,,,,,,,,,,,
191,inf.2013_Adult,2,integer,,,,,,,,,,,,,
192,prev.2013_1st.year,NA,logical,,,,,,,,,,,,,
193,prev.2013_9.12.year,13.6,numeric,,,,,,,,,,,,,
194,prev.2013_Adult,4,numeric,,,,,,,,,,,,,
195,tot.2014_1st.year,NA,logical,,,,,,,,,,,,,
196,tot.2014_9.12.year,118,integer,,,,,,,,,,,,,
197,tot.2014_Adult,48,integer,,,,,,,,,,,,,
198,inf.2014_1st.year,NA,logical,,,,,,,,,,,,,
199,inf.2014_9.12.year,9,integer,,,,,,,,,,,,,
200,inf.2014_Adult,4,integer,,,,,,,,,,,,,
201,prev.2014_1st.year,NA,logical,,,,,,,,,,,,,
202,prev.2014_9.12.year,7.6,numeric,,,,,,,,,,,,,
203,prev.2014_Adult,8.3,numeric,,,,,,,,,,,,,
204,tot.2015_1st.year,NA,logical,,,,,,,,,,,,,
205,tot.2015_9.12.year,101,integer,,,,,,,,,,,,,
206,tot.2015_Adult,50,integer,,,,,,,,,,,,,
207,inf.2015_1st.year,NA,logical,,,,,,,,,,,,,
208,inf.2015_9.12.year,7,integer,,,,,,,,,,,,,
209,inf.2015_Adult,5,integer,,,,,,,,,,,,,
210,prev.2015_1st.year,NA,logical,,,,,,,,,,,,,
211,prev.2015_9.12.year,6.9,numeric,,,,,,,,,,,,,
212,prev.2015_Adult,10,numeric,,,,,,,,,,,,,
213,tot.2016_1st.year,NA,logical,,,,,,,,,,,,,
214,tot.2016_9.12.year,97,integer,,,,,,,,,,,,,
215,tot.2016_Adult,50,integer,,,,,,,,,,,,,
216,inf.2016_1st.year,NA,logical,,,,,,,,,,,,,
217,inf.2016_9.12.year,6,integer,,,,,,,,,,,,,
218,inf.2016_Adult,2,integer,,,,,,,,,,,,,
219,prev.2016_1st.year,NA,logical,,,,,,,,,,,,,
220,prev.2016_9.12.year,6.2,numeric,,,,,,,,,,,,,
221,prev.2016_Adult,4,numeric,,,,,,,,,,,,,
222,tot.2017_1st.year,116,integer,,,,,,,,,,,,,
223,tot.2017_9.12.year,114,integer,,,,,,,,,,,,,
224,tot.2017_Adult,49,integer,,,,,,,,,,,,,
225,inf.2017_1st.year,5,integer,,,,,,,,,,,,,
226,inf.2017_9.12.year,5,integer,,,,,,,,,,,,,
227,inf.2017_Adult,1,integer,,,,,,,,,,,,,
228,prev.2017_1st.year,4.3,numeric,,,,,,,,,,,,,
229,prev.2017_9.12.year,4.4,numeric,,,,,,,,,,,,,
230,prev.2017_Adult,2,numeric,,,,,,,,,,,,,
231,TOT.ALL,1154,integer,,,,,,,,,,,,,
232,INF.ALL,92,integer,,,,,,,,,,,,,
233,prev.2017.all,3.94265233,numeric,,,,,,,,,,,,,
234,TOT.2017,279,integer,,,,,,,,,,,,,
235,INF.2017,11,integer,,,,,,,,,,,,,
236,prev.2016.all,2.867383513,numeric,,,,,,,,,,,,,
237,TOT.2016,147,integer,,,,,,,,,,,,,
238,INF.2016,8,integer,,,,,,,,,,,,,
239,prev.2015.all,7.947019868,numeric,,,,,,,,,,,,,
240,TOT.2015,151,integer,,,,,,,,,,,,,
241,INF.2015,12,integer,,,,,,,,,,,,,
242,prev.2014.all,7.831325301,numeric,,,,,,,,,,,,,
243,TOT.2014,166,integer,,,,,,,,,,,,,
244,INF.2014,13,integer,,,,,,,,,,,,,
245,prev.2013.all,10.71428571,numeric,,,,,,,,,,,,,
246,TOT.2013,168,integer,,,,,,,,,,,,,
247,INF.2013,18,integer,,,,,,,,,,,,,
248,prev.2012.all,12.34567901,numeric,,,,,,,,,,,,,
249,TOT.2012,243,integer,,,,,,,,,,,,,
250,INF.2012,30,integer,,,,,,,,,,,,,
