orig_row_rec,Wbname_fin,EMU_site_irn,Island,Shehia_cleaned,include,Year,month,niclo_by_site,Date_ed,month_survey_order,Visit,Shname,Wbtype,wbtype_fin,Wbtype2_ed,no_collected,Bul_pres_ed,Bglob,Bfor,Lym,Mel,Cleo,Pila,Lan,Cera,Neri,Thiara,Othsnail,tot_pres_all_genera,pres_non_bulinids,Infsnails,Infsnails_no,niclo_order,niclo_visit,Date_appl_ed,sprayed_but_no_bul,sprayed_when_Bul_presy,sprayed_when_Bul_presn,Sprayed_Steffi_ed,Sprayed_Steffi,HS8,HS10,PS,Barreldrip,NumberofHudsonsprayersused,Volumeofwatersprayedwithmachine,Nicl,N_Duration_min,N_Duration_new,Timeofapplicationhhmm,Numberofsprayers,Notesappl,M_Notesappl,monthly_precip
3437,Kwa Malik B,498879,Unguja,MIWANI,,2016,9,,21/09/2016,48,18,MIWANI,LAKE,zlarge pond,permanent,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43,2,21/09/2016,,1,0,1,1,0,0,1,0,,200,2,60,1 hr,10:30,4,,date of niclosamide was blank- added from survey date,59.3
3242,Kwa Simba,498882,Unguja,KINYASINI,,2015,8,,20/08/2015,37,3,KINYASINI,RIVER,stream,temporary,2,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,32,2,20/08/2015,,1,0,1,1,0,1,0,0,4,,320,15,15 min,10:25,3,,date of niclosamide was blank- added from survey date,57.8
3254,Kwachowele (Eneo Jipya),384822,Unguja,KINYASINI,,2016,8,o,02/08/2016,47,8,KINYASINI,RIVER,river,temporary,12,1,1,0,0,0,1,1,0,0,0,0,0,3,1,0,0,42,3,02/08/2016,,1,0,1,1,0,1,0,0,2,,320,20,20 min,12:35,3,,date of niclosamide was blank- added from survey date,128.5
2260,Kwafimbo,382678,Pemba,VITONGOJI,,2012,9,o,17/09/2012,7,2,VITONGOJI,,zlarge pond,temporary,26,1,1,0,0,0,0,0,0,0,0,0,,1,0,,,4,1,17/09/2012,,1,0,1,1,0,0,1,0,,100,,7,7 min,10:32,,,date of niclosamide was blank- added from survey date,67.7
2268,Kwafimbo,382678,Pemba,VITONGOJI,,2014,9,o,16/09/2014,26,10,VITONGOJI,POND,zlarge pond,temporary,1,1,1,0,0,0,0,0,1,0,0,0,0,2,1,,,21,5,16/09/2014,,1,0,1,1,1,0,0,0,2,,1,24,24 min,10:38,1,,,73.6
2274,Kwafimbo,382678,Pemba,VITONGOJI,,2016,9,o,24/09/2016,48,16,VITONGOJI,POND,zlarge pond,temporary,7,1,1,0,0,0,0,0,1,0,0,0,0,2,1,,,43,10,24/09/2016,,1,0,1,1,1,0,0,0,2,,,12,12 min,10:23,2,,,59.3
968,Kwakidume,382680,Pemba,KWALE,,2014,1,o,29/01/2014,19,6,KWALE,RICE PADDY,stream,permanent,,1,1,0,1,0,0,0,0,0,0,0,0,2,1,,,16,1,29/01/2014,,1,0,1,1,1,0,0,0,3,,,36,36 min,01:03,1,,,0.3
974,Kwakidume,382680,Pemba,KWALE,,2015,9,o,14/09/2015,38,13,KWALE,STREAM,stream,permanent,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,33,7,14/09/2015,,1,0,1,1,1,0,0,0,2,,,24,24 min,12:04,2,,,39
674,Kwakijindu,498883,Pemba,KINOWE,,2012,8,o,03/08/2012,6,1,KINOWE,RICE PADDY,rice/stream,temporary,1,1,1,0,0,0,0,0,0,0,0,0,,1,0,,,3,1,03/08/2012,,1,0,1,1,1,0,0,0,3,24,,,,,,,date of niclosamide was blank- added from survey date,29.8
675,Kwakijindu,498883,Pemba,KINOWE,,2012,9,y,30/09/2012,7,2,KINOWE,RICE PADDY,rice/stream,temporary,10,1,1,0,0,0,0,0,0,0,0,0,,1,0,,,4,2,30/09/2012,,1,0,1,1,0,0,1,0,,150,,5,5 min,11:15,,,date of niclosamide was blank- added from survey date,67.7
